,Company_name,Rank
0,RELIANCE INDUSTRIES LTD,Rank 1
1,TATA CONSULTANCY SERVICES LTD.,Rank 1
2,HDFC BANK LTD.,Rank 1
3,"HINDUSTAN UNILEVER LTD.,",Rank 1
4,HOUSING DEVELOPMENT FINANCE CORP.LT,Rank 1
5,INFOSYS LTD,Rank 1
6,BHARTI AIRTEL  LTD.,Rank 1
7,KOTAK MAHINDRA BANK LTD.,Rank 1
8,ICICI BANK LTD.,Rank 1
9,ITC LTD,Rank 1
10,"STATE BANK OF INDIA,",Rank 1
11,BAJAJ FINANCE LIMITED,Rank 1
12,MARUTI SUZUKI INDIA  LTD.,Rank 1
13,ASIAN PAINTS LTD.,Rank 1
14,NESTLE INDIA LTD.,Rank 1
15,AXIS BANK LTD.,Rank 1
16,HCL TECHNOLOGIES LTD,Rank 1
17,LARSEN & TOUBRO LIMITED,Rank 1
18,AVENUE SUPERMARTS LIMITED,Rank 1
19,"WIPRO  LTD.,",Rank 1
20,OIL AND NATURAL GAS CORPORATION LTD,Rank 1
21,ULTRATECH CEMENT LTD,Rank 1
22,BAJAJ FINSERV LIMITED,Rank 1
23,HDFC LIFE INSURANCE COMPANY LIMITED,Rank 1
24,SUN PHARMACEUTICAL INDUSTRIES LTD.,Rank 1
25,NTPC LIMITED,Rank 1
26,COAL INDIA LIMITED,Rank 1
27,TITAN COMPANY LIMITED,Rank 1
28,POWER GRID CORPORATION OF INDIA LIMITED,Rank 1
29,INDIAN OIL CORPORATION LTD.,Rank 1
30,"BHARAT PETROLEUM CORPN. LTD.,",Rank 1
31,DABUR INDIA LTD.,Rank 1
32,SBI LIFE INSURANCE COMPANY LIMITED,Rank 1
33,BAJAJ AUTO LIMITED,Rank 1
34,"SHREE CEMENTS LTD.,",Rank 1
35,"HINDUSTAN ZINC LTD.,",Rank 1
36,PIDILITE INDUSTRIES LTD.,Rank 1
37,"BRITANNIA INDUSTRIES LTD.,",Rank 1
38,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,Rank 1
39,GODREJ CONSUMER PRODUCTS LTD.,Rank 1
40,TECH MAHINDRA LIMITED,Rank 1
41,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Rank 1
42,HDFC ASSET MANAGEMENT COMPANY LIMITED,Rank 1
43,"DR. REDDY'S LABORATORIES LTD.,",Rank 1
44,DIVI'S LABORATORIES LTD.,Rank 1
45,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED ,Rank 1
46,MAHINDRA & MAHINDRA LTD.,Rank 1
47,SBI CARDS AND PAYMENT SERVICES LIMITED,Rank 1
48,INDUSIND BANK LTD.,Rank 1
49,BANDHAN BANK LIMITED,Rank 1
50,JSW STEEL LIMITED,Rank 1
51,BERGER PAINTS INDIA LTD,Rank 1
52,EICHER MOTORS LTD.,Rank 1
53,GAIL (INDIA) LTD.,Rank 1
54,DLF LIMITED,Rank 1
55,INTERGLOBE AVIATION LIMITED,Rank 1
56,"SIEMENS LTD.,",Rank 1
57,HERO MOTOCORP LIMITED,Rank 1
58,UNITED SPIRITS LIMITED,Rank 1
59,"CIPLA LTD.,",Rank 1
60,"GRASIM INDUSTRIES LTD.,",Rank 1
61,VEDANTA LIMITED,Rank 1
62,TATA STEEL LIMITED,Rank 1
63,MARICO LIMITED,Rank 1
64,TATA MOTORS LTD.,Rank 1
65,BIOCON LTD.,Rank 1
66,BHARTI INFRATEL LIMITED,Rank 1
67,AMBUJA CEMENTS LTD.,Rank 1
68,TORRENT PHARMACEUTICALS LTD.,Rank 1
69,"COLGATE-PALMOLIVE (INDIA) LTD.,",Rank 1
70,PETRONET LNG LTD.,Rank 1
71,HAVELLS INDIA LIMITED,Rank 1
72,BOSCH LTD,Rank 1
73,LUPIN LTD,Rank 1
74,UPL LIMITED,Rank 1
75,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Rank 1
76,ADANI GREEN ENERGY LIMITED,Rank 1
77,HINDALCO INDUSTRIES LTD.,Rank 1
78,AUROBINDO PHARMA LTD.,Rank 1
79,HINDUSTAN PETROLEUM CORPORATION LTD,Rank 1
80,MUTHOOT FINANCE LIMITED,Rank 1
81,ABBOTT INDIA LTD.,Rank 1
82,INDRAPRASHTHA GAS LTD.,Rank 1
83,"MOTHERSON SUMI SYSTEMS LTD.,",Rank 1
84,PUNJAB NATIONAL BANK,Rank 1
85,INFO EDGE(INDIA) LTD.,Rank 1
86,CADILA HEALTHCARE LTD.,Rank 1
87,LARSEN & TOUBRO INFOTECH LIMITED,Rank 1
88,BAJAJ HOLDINGS & INVESTMENT LIMITED,Rank 1
89,GENERAL INSURANCE CORPORATION OF INDIA,Rank 1
90,BANK OF BARODA,Rank 1
91,IDBI BANK LTD,Rank 1
92,ALKEM LABORATORIES LIMITED,Rank 1
93,UNITED BREWERIES LTD.,Rank 1
94,NMDC LTD,Rank 1
95,ADANI TRANSMISSION LIMITED,Rank 1
96,"M.R.F. LTD.,",Rank 1
97,PIRAMAL ENTERPRISES LIMITED,Rank 1
98,TATA CONSUMER PRODUCTS LIMITED,Rank 1
99,CONTAINER CORPORATION OF INDIA LTD.,Rank 1
100,WHIRLPOOL OF INDIA LTD,Rank 2
101,POWER FINANCE CORPORATION LTD,Rank 2
