Age,Gender,Income,Expenses,Company,Experience,Eligibility
63,m,78106,59360.56,Rank 2,43,no
20,f,49757,47766.72,Rank 3,0,no
23,f,25690,16955.4,Rank 1,3,no
64,m,137307,75518.85,Rank 2,44,no
21,m,18896,13227.2,Rank 2,1,no
41,m,99034,91111.28,Rank 1,21,yes
31,m,52197,48021.24,Rank 2,11,no
23,f,42798,28246.68,Rank 3,3,no
22,m,27898,20086.56,Rank 2,2,no
49,m,99268,54597.4,Rank 1,29,yes
20,f,17783,9069.33,Rank 1,0,no
32,f,50617,34925.73,Rank 3,12,yes
38,f,57079,29681.08,Rank 1,18,yes
39,f,79802,60649.52,Rank 2,19,yes
60,m,39805,21494.7,Rank 2,40,no
24,m,28158,26468.52,Rank 3,4,no
26,m,91866,79004.76,Rank 3,6,yes
24,f,39360,31488,Rank 2,4,no
28,m,84363,71708.55,Rank 3,8,yes
25,f,64732,58258.8,Rank 2,5,no
42,m,66905,65566.9,Rank 1,22,no
20,f,30503,28062.76,Rank 3,0,no
41,f,29476,27707.44,Rank 3,21,no
42,m,55146,50734.32,Rank 1,22,no
48,f,133553,74789.68,Rank 2,28,no
31,f,49683,49186.17,Rank 2,11,no
25,f,42450,42450,Rank 3,5,no
44,m,73856,51699.2,Rank 2,24,yes
37,m,79082,46658.38,Rank 3,17,yes
65,f,97376,54530.56,Rank 3,45,no
40,m,94370,87764.1,Rank 1,20,yes
44,m,61198,38554.74,Rank 2,24,yes
40,m,91722,71543.16,Rank 3,20,yes
44,m,34113,27290.4,Rank 2,24,yes
60,f,59304,45664.08,Rank 3,40,no
39,m,34066,28274.78,Rank 1,19,yes
24,f,36702,24223.32,Rank 3,4,no
40,f,48143,28885.8,Rank 3,20,yes
47,f,131474,111752.9,Rank 3,27,no
55,m,65232,45010.08,Rank 3,35,no
57,m,37113,18556.5,Rank 1,37,yes
22,m,25486,18859.64,Rank 3,2,no
44,m,28153,15765.68,Rank 3,24,yes
24,m,49839,29903.4,Rank 2,4,no
22,m,17996,9537.88,Rank 3,2,no
34,f,66770,50077.5,Rank 3,14,yes
32,m,82456,67613.92,Rank 3,12,yes
45,f,107639,82882.03,Rank 2,25,yes
48,m,68146,39524.68,Rank 1,28,yes
55,m,141600,103368,Rank 3,35,no
54,f,76977,55423.44,Rank 3,34,no
24,m,35798,21836.78,Rank 2,4,no
55,f,39758,38962.84,Rank 2,35,no
29,f,33241,18614.96,Rank 3,9,yes
65,f,98172,82464.48,Rank 1,45,yes
24,m,19540,16609,Rank 2,4,no
54,f,54580,48030.4,Rank 2,34,no
51,f,104014,52007,Rank 2,31,no
34,m,80026,80026,Rank 2,14,no
42,f,54198,36854.64,Rank 2,22,yes
53,f,81519,40759.5,Rank 2,33,no
49,m,100318,53168.54,Rank 2,29,no
25,m,32811,24936.36,Rank 1,5,no
53,f,47551,30432.64,Rank 1,33,yes
62,m,88695,84260.25,Rank 3,42,no
50,f,124179,80716.35,Rank 3,30,no
42,f,57051,40506.21,Rank 3,22,yes
29,m,92888,54803.92,Rank 2,9,yes
26,m,87277,60221.13,Rank 3,6,yes
26,m,33128,30477.76,Rank 3,6,no
55,f,130411,125194.56,Rank 3,35,no
58,m,83364,55020.24,Rank 3,38,no
38,m,47435,30358.4,Rank 2,18,yes
39,f,49312,33039.04,Rank 3,19,yes
40,m,46161,34159.14,Rank 2,20,yes
52,f,113984,79788.8,Rank 2,32,no
42,f,73783,51648.1,Rank 2,22,yes
55,f,57834,51472.26,Rank 3,35,no
34,m,32590,31612.3,Rank 1,14,no
35,f,76624,74325.28,Rank 3,15,no
34,f,66317,59022.13,Rank 2,14,yes
62,m,42440,25039.6,Rank 2,42,no
64,f,39408,20886.24,Rank 1,44,yes
47,f,143479,114783.2,Rank 1,27,yes
