Customer_id,pl_score,hl_score,cl_score,twl_score,cc_score
1000040,5,2,1,8,4
1000055,5,1,2,0,7
1000322,9,1,8,9,2
1000371,6,4,10,2,7
1000529,8,5,1,4,4
1000539,1,5,1,3,8
1000635,1,8,4,5,9
1000671,1,0,10,10,8
1000874,6,7,7,1,3
1000880,6,9,5,1,10
1000935,1,0,9,7,10
1001047,5,2,3,1,5
1001123,3,0,1,5,10
1001166,5,1,7,4,5
1001192,3,2,7,9,5
1001259,3,2,8,6,7
1001436,3,8,7,0,2
1001783,1,5,7,7,3
1001786,5,6,1,6,1
1001816,6,4,8,8,7
1002088,7,6,3,6,4
1002397,6,6,1,4,8
1002418,6,2,2,3,3
1002516,5,8,5,9,1
1002529,5,10,10,2,0
1002737,1,10,5,5,5
1002945,4,7,9,5,1
1003259,3,10,0,9,0
1003293,1,7,4,7,10
1003316,5,7,1,1,2
1003320,5,4,3,6,0
1003368,5,1,4,3,2
1003565,5,1,2,10,10
1003736,3,3,4,7,2
1003758,4,7,0,0,9
1003776,3,2,8,1,0
1003805,5,4,0,3,8
1003825,5,9,7,2,9
1003858,4,1,9,0,6
1004234,4,7,3,4,9
1004318,4,8,8,4,7
1004478,1,1,5,4,2
1004577,9,3,3,1,7
1004635,9,2,1,0,2
1004679,4,5,0,1,1
1004695,7,2,5,7,9
1004723,5,9,2,4,10
1004738,6,7,8,0,7
1005083,1,5,0,1,10
1005105,5,6,4,0,10
1005274,3,9,10,6,8
1005280,8,4,10,0,6
1005284,8,10,8,2,7
1005289,1,4,6,5,9
1005399,9,1,10,5,1
1005451,3,4,10,2,8
1005461,1,10,6,1,4
1005661,1,3,1,2,9
1005725,1,5,3,2,8
1005777,1,3,6,5,1
1005832,5,6,4,4,1
1006166,5,4,5,8,9
1006252,5,10,3,7,3
1006296,9,9,0,2,6
1006395,4,4,8,1,4
1006466,6,7,0,10,4
1006469,3,4,7,9,5
1006489,8,8,10,8,7
1006491,1,2,5,8,6
1006638,5,4,8,1,4
1006833,4,5,9,5,0
1006858,5,8,1,8,3
1006928,1,10,7,3,3
1007108,8,1,8,4,10
1007201,6,2,6,10,3
1007275,1,9,4,4,1
1007279,10,3,1,1,3
1007379,1,1,6,6,0
1007436,4,7,3,0,5
1007478,3,5,5,8,6
1007503,7,7,9,9,6
1007513,1,5,5,2,0
1007536,5,9,5,9,3
1007645,1,4,3,3,1
1007702,5,8,5,0,8
1007710,4,7,10,7,6
1007787,5,6,6,5,10
1007828,1,7,4,2,0
1007848,3,0,10,1,6
1007916,10,7,10,10,4
1007936,5,6,5,2,0
1007956,3,6,2,10,6
1008105,5,6,10,2,0
1008209,6,2,3,6,8
1008427,5,8,10,7,1
1008490,4,2,10,10,4
1008491,5,0,9,5,10
1008495,4,9,1,5,7
1008507,5,1,8,9,3
1008534,5,6,1,6,6
1008778,1,1,4,1,1
1008926,5,7,1,0,5
1008937,4,3,3,7,3
1009006,8,4,2,3,5
1009116,10,2,1,8,2
1009133,9,1,10,9,10
1009182,4,6,0,4,6
1009220,4,8,6,8,0
1009260,5,5,7,6,10
1009290,1,8,6,8,5
1009334,5,7,0,2,7
1009343,4,5,7,4,7
1009546,5,4,2,10,4
1009565,6,7,8,10,1
1009620,5,6,5,6,10
1009655,1,4,10,3,2
1009783,9,0,8,9,2
1009799,4,8,2,6,2
1009968,7,2,3,0,8
1010279,1,7,6,4,6
1010345,5,5,1,7,6
1010462,4,10,5,8,1
1010502,3,4,2,6,4
1010549,4,5,0,0,5
1010554,5,2,9,0,6
1010589,1,1,1,6,7
1010664,3,3,2,7,2
1010667,5,7,1,6,1
1010822,1,9,2,3,8
1010829,5,4,0,2,7
1010977,1,7,3,2,0
1011006,1,6,3,0,7
1011030,9,1,5,6,8
1011132,4,5,8,9,6
1011154,5,10,5,7,0
1011168,1,6,7,1,9
1011193,1,9,5,4,8
1011246,7,6,10,8,5
1011369,5,5,1,5,10
1011586,6,4,7,7,8
1011699,6,0,8,8,5
1011709,3,4,5,0,4
1011867,5,3,2,8,3
1011937,5,9,8,10,0
1011985,6,3,2,4,9
1012098,5,0,2,1,9
1012285,1,2,9,10,1
1012334,3,6,6,4,1
1012538,5,7,1,7,7
1012539,5,3,9,7,10
1012625,5,1,9,1,5
1012688,4,5,10,3,9
1012733,1,2,8,10,4
1012816,1,7,7,3,1
1012822,5,3,5,10,9
1012828,5,0,8,7,3
1012862,1,0,0,4,10
1012972,4,7,3,4,3
1013211,8,9,3,10,2
1013289,10,10,8,6,2
1013344,1,9,10,0,1
1013347,4,8,6,1,6
1013708,5,5,2,8,2
1013721,6,4,9,1,10
1013822,4,5,1,5,3
1013980,8,10,0,1,1
1014005,6,1,0,1,3
1014245,6,5,8,2,10
1014395,1,10,6,3,0
1014436,1,3,5,9,10
1014489,5,1,0,9,6
1014532,1,10,7,2,1
1014568,5,10,8,6,10
1014598,5,3,8,4,2
1014655,6,7,8,6,2
1014816,5,7,9,0,4
1015313,6,0,5,1,0
1015441,3,6,10,0,5
1015558,10,0,2,5,7
1015582,1,3,8,3,4
1015736,3,9,7,1,1
1015980,1,6,1,8,4
1016034,1,6,4,2,7
1016055,4,9,3,1,0
1016062,1,6,8,4,3
1016149,5,10,3,1,9
1016196,7,10,0,4,9
1016339,1,8,10,9,9
1016650,5,9,5,2,7
1016660,5,4,0,3,1
1016811,5,1,9,9,10
1016855,5,2,10,2,8
1016863,1,7,2,7,1
1016893,5,4,6,0,3
1017192,6,5,0,1,1
1017315,4,5,2,6,4
1017412,5,7,10,3,2
1017533,4,5,8,7,2
1017535,6,10,1,8,2
1017561,3,5,2,4,5
1017570,1,9,2,1,9
1017574,9,0,0,10,0
1017589,5,4,2,4,7
1017681,5,0,8,4,1
1017747,1,6,9,6,2
1017762,3,5,9,7,7
1017854,5,3,9,1,5
1017865,4,0,5,2,7
1018161,10,1,4,10,6
1018273,5,2,0,9,9
1018311,6,2,9,10,3
1018353,9,2,9,7,9
1018403,1,2,3,1,6
1018412,5,9,10,5,1
1018439,1,2,7,8,4
1018540,6,9,4,4,2
1018879,1,2,3,0,4
1019123,10,0,6,6,9
1019189,1,4,3,3,7
1019236,7,10,2,2,7
1019361,3,5,1,5,10
